Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Inductive 2 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 4.665, , , , , 112.64, 112.64, 112.64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 4.748, , , , , 114.619, 114.619, 114.619, , , , , , 7.38, 22.39, , , , , , , , 51.066, 51.066, , , , , , , , 7.38, 22.39, , , 1, 0.048, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 4.791, , 7.909, 7.909, , 115.635, 115.635, 115.635, , , , , , 7.38, 22.39, 0, 0, 15.633, 15.991, 15.633, 15.991, 1, 51.424, 51.424, , , , , , , , 7.38, 22.39, , , 1, 0.145, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , 4.817, , 14.501, 14.501, , 116.269, 116.269, 116.269, , , , , , 7.38, 22.39, 0, 0, 15.761, 16.123, 15.761, 16.123, 1, 51.786, 51.786, , , 479.171, 490.137, 479.171, 490.137, , 7.38, 22.39, , , 1, 0.221, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , 4.887, , 20.174, 20.174, 0.032, 117.926, 117.926, 117.926, , 90.782, , , , 7.379, 22.39, 0, 0, 16.049, 16.418, 16.049, 16.418, 1, 52.153, 52.153, 0.025, 0.033, 337.148, 344.864, 337.148, 344.864, 4.777, 7.379, 22.39, , , 1, 0.297, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , , , , , 5.097, , 25.839, 25.839, 0.164, 122.929, 122.929, 122.929, 3.69, 88.33, , 35.6, 34.343, 7.378, 22.39, 0, 0, 16.813, 17.199, 16.813, 17.199, 1, 52.441, 52.441, 0.025, 0.033, 297.843, 304.659, 297.843, 304.659, 4.788, 7.378, 22.39, , , 1, 0.348, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.3, , , , , , 5.623, , 29.667, 29.667, 0.297, 135.394, 135.394, 135.394, 7.156, 85.878, , 35.6, 34.487, 7.378, 22.39, 0, 0, 18.626, 19.054, 18.626, 19.054, 1, 52.782, 52.782, 0.025, 0.033, 217.294, 222.268, 217.294, 222.268, 4.799, 7.378, 22.39, , , 1, 0.399, 0, 0, 14.6, 2.687, 190, 100, 100, 0, 63, 6.617, 6.278, 113, 46.414, 100, 100, 0, 42.681, 42.681, 13, 1.092, 105.561, 105.561, 112.061, 112.061, 52.574, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.687, 190, 100, 100, 0, 63, 1, 0.007, 0.006, 113, 46.414, 100, 100, 0, 141, 42.681, 42.681, 13, 1.092, 0, 105.561, 105.561, 112.061, 112.061, 52.574, 0, 0, 5.1, 5.1, 
0.35, , , , , , 7.115, , 35.064, 35.064, 0.429, 170.818, 170.818, 170.818, 10.561, 83.426, , 35.6, 34.632, 7.377, 22.39, 0, 0, 23.773, 24.319, 23.773, 24.319, 1, 53.235, 53.235, 0.025, 0.033, 189.892, 194.239, 189.892, 194.239, 4.81, 7.377, 22.39, , , 1, 0.448, 0, 0, 14.6, 2.696, 190, 100, 100, 0, 63, 6.635, 6.362, 113, 46.367, 100, 100, 0, 42.873, 42.873, 13, 1.095, 105.625, 105.625, 112.125, 112.125, 52.971, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.696, 190, 100, 100, 0, 63, 1, 0.007, 0.006, 113, 46.367, 100, 100, 0, 141, 42.873, 42.873, 13, 1.095, 0, 105.625, 105.625, 112.125, 112.125, 52.971, 0, 0, 5.1, 5.1, 
0.4, , , , , , 8.578, , 39.695, 39.695, 0.562, 205.53, 205.53, 205.53, 13.918, 80.974, , 35.6, 34.777, 7.377, 22.39, 0, 0, 28.867, 29.529, 28.867, 29.529, 1, 53.622, 53.622, 0.025, 0.034, 183.665, 187.869, 183.665, 187.869, 4.823, 7.377, 22.39, , , 1, 0.498, 0, 0, 14.6, 2.704, 190, 100, 100, 0, 63, 6.653, 6.445, 113, 46.32, 100, 100, 0, 43.065, 43.065, 13, 1.098, 105.689, 105.689, 112.189, 112.189, 53.368, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.704, 190, 100, 100, 0, 63, 1, 0.007, 0.006, 113, 46.32, 100, 100, 0, 141, 43.065, 43.065, 13, 1.098, 0, 105.689, 105.689, 112.189, 112.189, 53.368, 0, 0, 5.1, 5.1, 
0.45, , , , , , 9.864, , 43.587, 43.587, 0.694, 236.054, 236.054, 236.054, 17.083, 78.522, , 35.6, 34.921, 7.377, 22.39, 0, 0, 33.426, 34.192, 33.426, 34.192, 1, 54.08, 54.08, 0.025, 0.034, 184.977, 189.212, 184.977, 189.212, 4.847, 7.377, 22.39, , , 1, 0.548, 0, 0, 14.6, 2.713, 190, 100, 100, 0, 63, 6.671, 6.528, 113, 46.272, 100, 100, 0, 43.258, 43.258, 13, 1.1, 105.753, 105.753, 112.253, 112.253, 53.766, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.713, 190, 100, 100, 0, 63, 1, 0.007, 0.007, 113, 46.272, 100, 100, 0, 141, 43.258, 43.258, 13, 1.1, 0, 105.753, 105.753, 112.253, 112.253, 53.766, 0, 0, 5.1, 5.1, 
0.5, , , , , , 11.074, , 47.478, 47.478, 0.826, 264.775, 264.775, 264.775, 19.332, 76.07, , 35.606, 35.06, 7.377, 22.39, 0, 0, 37.807, 38.674, 37.807, 38.674, 1, 54.596, 54.596, 0.025, 0.034, 187.291, 191.579, 187.291, 191.579, 4.871, 7.377, 22.39, , , 1, 0.599, 0, 0, 14.6, 2.722, 190, 100, 100, 0, 63, 6.689, 6.612, 113, 46.225, 100, 100, 0, 43.45, 43.45, 13, 1.103, 105.817, 105.817, 112.317, 112.317, 54.163, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.722, 190, 100, 100, 0, 63, 1, 0.007, 0.007, 113, 46.225, 100, 100, 0, 141, 43.45, 43.45, 13, 1.103, 0, 105.817, 105.817, 112.317, 112.317, 54.163, 0, 0, 5.1, 5.1, 
0.55, , , , , , 12.07, , 51.37, 51.37, 0.959, 288.398, 288.398, 288.398, 21.296, 73.619, , 35.749, 35.06, 7.377, 22.39, 0, 0, 41.552, 42.506, 41.552, 42.506, 1, 55.156, 55.156, 0.025, 0.034, 186.406, 190.672, 186.406, 190.672, 4.895, 7.377, 22.39, , , 1, 0.649, 0, 0, 14.6, 2.73, 190, 100, 100, 0, 63, 6.707, 6.695, 113, 46.177, 100, 100, 0, 43.642, 43.642, 13, 1.105, 105.881, 105.881, 112.381, 112.381, 54.561, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.73, 190, 100, 100, 0, 63, 1, 0.007, 0.007, 113, 46.177, 100, 100, 0, 141, 43.642, 43.642, 13, 1.105, 0, 105.881, 105.881, 112.381, 112.381, 54.561, 0, 0, 5.1, 5.1, 
0.6, , , , , , 12.775, , 55.328, 55.328, 1.091, 305.137, 305.137, 305.137, 23.212, 71.167, , 35.893, 35.06, 7.377, 22.39, 0, 0, 44.415, 45.433, 44.415, 45.433, 1, 55.758, 55.758, 0.025, 0.034, 181.767, 185.928, 181.767, 185.928, 4.921, 7.377, 22.39, , , 1, 0.699, 0, 0, 14.6, 2.739, 190, 100, 100, 0, 63, 6.725, 6.778, 113, 46.13, 100, 100, 0, 43.835, 43.835, 13, 1.108, 105.945, 105.945, 112.445, 112.445, 54.958, 5.1, 5.1, 0, 0, 0, 14.1, 0, 14.6, 0, 2.739, 190, 100, 100, 0, 63, 1, 0.007, 0.007, 113, 46.13, 100, 100, 0, 141, 43.835, 43.835, 13, 1.108, 0, 105.945, 105.945, 112.445, 112.445, 54.958, 0, 0, 5.1, 5.1, 
